Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
trees.HoeffdingTree,ConceptDriftStream -s generators.AgrawalGenerator -d (generators.AgrawalGenerator -f 3) -p 100000 -w 1,1,1000.0,0.015625,2.166618489556842E-12,1000.0,81.8,54.2419244539201,60.606060606060595,45.18072289156624,1000.0,536.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
trees.HoeffdingTree,ConceptDriftStream -s generators.AgrawalGenerator -d (generators.AgrawalGenerator -f 3) -p 100000 -w 1,1,2000.0,0.03125,5.15784550872114E-11,2000.0,83.1,60.496851435436895,64.2706131078224,50.29411764705881,2000.0,12224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
trees.HoeffdingTree,ConceptDriftStream -s generators.AgrawalGenerator -d (generators.AgrawalGenerator -f 3) -p 100000 -w 1,1,3000.0,0.046875,1.0099029168486596E-10,3000.0,84.83333333333334,65.41063781263463,67.50000000000001,54.861111111111114,3000.0,12224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
trees.HoeffdingTree,ConceptDriftStream -s generators.AgrawalGenerator -d (generators.AgrawalGenerator -f 3) -p 100000 -w 1,1,4000.0,0.046875,1.0099029168486596E-10,4000.0,86.425,69.27180979985931,70.21393307734502,58.86363636363635,4000.0,12224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
trees.HoeffdingTree,ConceptDriftStream -s generators.AgrawalGenerator -d (generators.AgrawalGenerator -f 3) -p 100000 -w 1,1,5000.0,0.046875,1.0099029168486596E-10,5000.0,87.26,71.54888410882351,72.13473315835522,61.58021712907118,5000.0,12224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
trees.HoeffdingTree,ConceptDriftStream -s generators.AgrawalGenerator -d (generators.AgrawalGenerator -f 3) -p 100000 -w 1,1,6000.0,0.046875,1.0099029168486596E-10,6000.0,87.36666666666667,71.90269882362013,72.02952029520297,61.522842639593925,6000.0,12224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
trees.HoeffdingTree,ConceptDriftStream -s generators.AgrawalGenerator -d (generators.AgrawalGenerator -f 3) -p 100000 -w 1,1,7000.0,0.0625,1.5040212828252052E-10,7000.0,87.55714285714285,72.38753070341735,72.22576530612244,61.81499342393686,7000.0,12224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
trees.HoeffdingTree,ConceptDriftStream -s generators.AgrawalGenerator -d (generators.AgrawalGenerator -f 3) -p 100000 -w 1,1,8000.0,0.0625,1.5040212828252052E-10,8000.0,87.8875,73.24649257100103,72.69653423499577,62.773722627737214,8000.0,12224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
trees.HoeffdingTree,ConceptDriftStream -s generators.AgrawalGenerator -d (generators.AgrawalGenerator -f 3) -p 100000 -w 1,1,9000.0,0.078125,2.1811704047852095E-10,9000.0,87.95555555555555,73.44439578759957,72.83888749686794,62.77472527472527,9000.0,16752.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
trees.HoeffdingTree,ConceptDriftStream -s generators.AgrawalGenerator -d (generators.AgrawalGenerator -f 3) -p 100000 -w 1,1,10000.0,0.09375,3.0413502827286723E-10,10000.0,88.42,74.49198969176807,73.72958257713248,64.30332922318127,10000.0,21280.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
