learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.671875,7.429667877861196E-8,10000.0,85.5,-0.591059189166742,38.29787234042552,-2.11267605633803,10000.0,427448.0,15.0,8.0,8.0,7.0,0.0,0.0,1.0
20000.0,1.1875,1.7418956202972268E-7,20000.0,80.7,0.05178663904712016,37.133550488599376,-1.5789473684210544,20000.0,748864.0,27.0,14.0,14.0,13.0,0.0,0.0,1.0
30000.0,1.609375,2.923333603474829E-7,30000.0,83.6,-0.7866273352998693,41.21863799283154,-2.5000000000000018,30000.0,1082504.0,39.0,20.0,20.0,19.0,0.0,0.0,1.0
40000.0,2.0625,4.5136474202283557E-7,40000.0,83.5,1.223629702353832,42.105263157894726,-1.2269938650306758,40000.0,1356648.0,49.0,25.0,25.0,24.0,0.0,0.0,1.0
50000.0,2.53125,6.492465359365775E-7,50000.0,83.3,0.2151051625238504,36.742424242424235,-1.829268292682928,50000.0,1631800.0,59.0,30.0,30.0,29.0,0.0,0.0,1.0
60000.0,3.140625,9.578614198188815E-7,60000.0,80.60000000000001,-1.2610656422247482,34.013605442176896,-5.4347826086955955,60000.0,1957648.0,71.0,36.0,36.0,33.0,0.0,0.0,1.0
70000.0,3.734375,1.3077027203204731E-6,70000.0,80.7,1.6871103141937238,36.928104575163424,-0.5208333333333339,70000.0,2277560.0,83.0,42.0,42.0,38.0,0.0,0.0,1.0
80000.0,4.3125,1.680490968283266E-6,80000.0,80.9,-2.3009683777530032,37.58169934640526,-6.703910614525081,80000.0,2492544.0,91.0,46.0,46.0,40.0,0.0,0.0,1.0
90000.0,4.90625,2.112351648975164E-6,90000.0,83.89999999999999,0.5558987029029656,38.076923076923066,-3.8709677419354867,90000.0,2811528.0,105.0,53.0,53.0,43.0,0.0,0.0,1.0
100000.0,5.484375,2.566717836695413E-6,100000.0,81.89999999999999,8.395246674899305,36.26760563380281,0.0,100000.0,3037992.0,115.0,58.0,58.0,46.0,0.0,0.0,1.0
110000.0,6.234375,3.20872039689372E-6,110000.0,82.69999999999999,0.36398820493916206,40.34482758620689,-1.1695906432748546,110000.0,3308856.0,123.0,62.0,62.0,48.0,0.0,0.0,1.0
