dataset,model,selector,instances,elapsed_ms,drifts,final_Accuracy,final_LogLoss,final_AUC,final_Windowed[1000]-Accuracy,final_Windowed[1000]-LogLoss
avazu,HT,drift_aware_selector,200000,5841,0,0.82031,0.538545271776869,0.7182813603720836,0.828,0.5006557566973022
avazu,HAT,drift_aware_selector,200000,7191,1,0.81604,0.6357582019804545,0.6436852798183229,0.821,0.5801373928898221
avazu,DASRP,drift_aware_srp,200000,13736,0,0.82529,0.43316590422296564,0.7048000618127135,0.832,0.4172469979468338
criteo,HT,drift_aware_selector,200000,8672,12,0.755055,0.7256708167892053,0.6568936460623183,0.731,0.6697730370148834
criteo,HAT,drift_aware_selector,200000,9973,13,0.75303,0.7917319042812873,0.5521555188969249,0.709,1.4022462903297883
criteo,DASRP,drift_aware_srp,200000,16685,13,0.75793,0.5293889326651997,0.6668808929585994,0.719,0.5681773431142063
agrawal_sudden,HT,drift_aware_selector,200000,886,122,0.682845,0.6263196215515476,0.5882106426205951,0.613,0.669566475191279
agrawal_sudden,HAT,drift_aware_selector,200000,1055,200,0.84242,0.3723993088516615,0.6603846002904125,0.573,0.7252854295794922
agrawal_sudden,DASRP,drift_aware_srp,200000,2531,15,0.83108,0.3809439372172124,0.886044040859001,0.65,0.5529707642327448
agrawal_gradual,HT,drift_aware_selector,200000,941,225,0.757375,0.50176101356576,0.5917669259483789,0.571,0.6870779106149927
agrawal_gradual,HAT,drift_aware_selector,200000,1177,251,0.815615,0.4295319448646066,0.8152088881650315,0.669,0.6548522771091478
agrawal_gradual,DASRP,drift_aware_srp,200000,3076,62,0.95722,0.31907845035628396,1.0,1.0,0.2802894678349607
agrawal_noisy,HT,drift_aware_selector,200000,1051,234,0.781155,0.5124198771866542,0.7477314301480471,0.599,0.666504203615189
agrawal_noisy,HAT,drift_aware_selector,200000,1362,274,0.778785,0.5715779082884743,0.7369612560544735,0.579,0.6824594784360231
agrawal_noisy,DASRP,drift_aware_srp,200000,3133,17,0.77568,0.48689480327384277,0.8667405625814155,0.651,0.5687730285886676
led_irrelevant,HT,drift_aware_selector,200000,971,8,0.187565,10.395753625451768,0.9166501200506555,0.192,8.56753727742185
led_irrelevant,HAT,drift_aware_selector,200000,1506,8,0.18773,13.280558318952336,0.9106302018900658,0.192,38.53459874235591
led_irrelevant,DASRP,drift_aware_srp,200000,5510,6,0.195405,3.2834092560621975,0.9360382551662043,0.192,3.486691774411586
rbf_highdim,HT,drift_aware_selector,200000,4646,132,0.90943,0.34575162628291894,0.9566852264596636,0.967,0.2708261533791421
rbf_highdim,HAT,drift_aware_selector,200000,6455,188,0.904555,0.43346108949192486,0.9477008030280722,0.955,0.30636780493858096
rbf_highdim,DASRP,drift_aware_srp,200000,14950,177,0.925035,0.2269883884358962,0.9672396406440498,0.888,0.2948005207228325
