dataset,method,source,model,selector,instances,drifts,final_Accuracy,final_LogLoss,final_AUC,final_Windowed[1000]-Accuracy,final_Windowed[1000]-LogLoss
agrawal_gradual,HT,baseline,HT,none,200000,68,0.94582,0.2669090903888917,0.998254819935436,0.972,0.17533432169666907
agrawal_gradual,HAT,baseline,HAT,none,200000,61,0.96883,0.11225609074978224,1.0,1.0,9.381014435144975E-4
agrawal_gradual,SRP,baseline,SRP,none,200000,84,0.941735,0.25972446562747,0.9997492236126317,0.961,0.3140497694830538
agrawal_gradual,HT_DA,driftaware,HT,drift_aware_selector,200000,225,0.757375,0.50176101356576,0.5917669259483789,0.571,0.6870779106149927
agrawal_gradual,HAT_DA,driftaware,HAT,drift_aware_selector,200000,251,0.815615,0.4295319448646066,0.8152088881650315,0.669,0.6548522771091478
agrawal_gradual,DASRP,driftaware,DASRP,drift_aware_srp,200000,62,0.95722,0.31907845035628396,1.0,1.0,0.2802894678349607
agrawal_noisy,HT,baseline,HT,none,200000,40,0.867285,0.38744157460398704,0.9694726235383971,0.928,0.41693774924656346
agrawal_noisy,HAT,baseline,HAT,none,200000,13,0.92027,0.26513070966441266,0.9871349910119823,0.956,0.148062052175737
agrawal_noisy,SRP,baseline,SRP,none,200000,22,0.90247,0.31560979647073106,0.9654744377804313,0.936,0.3357076237408183
agrawal_noisy,HT_DA,driftaware,HT,drift_aware_selector,200000,234,0.781155,0.5124198771866542,0.7477314301480471,0.599,0.666504203615189
agrawal_noisy,HAT_DA,driftaware,HAT,drift_aware_selector,200000,274,0.778785,0.5715779082884743,0.7369612560544735,0.579,0.6824594784360231
agrawal_noisy,DASRP,driftaware,DASRP,drift_aware_srp,200000,17,0.77568,0.48689480327384277,0.8667405625814155,0.651,0.5687730285886676
agrawal_sudden,HT,baseline,HT,none,200000,32,0.993325,0.032361616685849984,1.0,1.0,9.99200722162641E-16
agrawal_sudden,HAT,baseline,HAT,none,200000,16,0.997835,0.011761723311135468,1.0,1.0,9.99200722162641E-16
agrawal_sudden,SRP,baseline,SRP,none,200000,30,0.9911,0.1990601698929125,0.9999870793623001,0.999,0.27864946014559905
agrawal_sudden,HT_DA,driftaware,HT,drift_aware_selector,200000,122,0.682845,0.6263196215515476,0.5882106426205951,0.613,0.669566475191279
agrawal_sudden,HAT_DA,driftaware,HAT,drift_aware_selector,200000,200,0.84242,0.3723993088516615,0.6603846002904125,0.573,0.7252854295794922
agrawal_sudden,DASRP,driftaware,DASRP,drift_aware_srp,200000,15,0.83108,0.3809439372172124,0.886044040859001,0.65,0.5529707642327448
avazu,HT,baseline,HT,none,200000,41,0.805155,1.0169266441807392,0.6338928190637975,0.809,1.0163620593877014
avazu,HAT,baseline,HAT,none,200000,29,0.80057,1.0647375359915368,0.6352455285407755,0.811,1.2496754860899968
avazu,SRP,baseline,SRP,none,200000,0,0.82241,0.5537156102571285,0.7016390453273991,0.833,0.5638757296460526
avazu,HT_DA,driftaware,HT,drift_aware_selector,200000,0,0.82031,0.538545271776869,0.7182813603720836,0.828,0.5006557566973022
avazu,HAT_DA,driftaware,HAT,drift_aware_selector,200000,1,0.81604,0.6357582019804545,0.6436852798183229,0.821,0.5801373928898221
avazu,DASRP,driftaware,DASRP,drift_aware_srp,200000,0,0.82529,0.43316590422296564,0.7048000618127135,0.832,0.4172469979468338
criteo,HT,baseline,HT,none,200000,10,0.74967,1.0109724013470505,0.6296707251517066,0.698,1.704962833021296
criteo,HAT,baseline,HAT,none,200000,8,0.74069,1.2029950953491604,0.6142648607435697,0.705,1.023966671446898
criteo,SRP,baseline,SRP,none,200000,17,0.75042,1.6135199870706136,0.604045539571807,0.693,3.425310189186886
criteo,HT_DA,driftaware,HT,drift_aware_selector,200000,12,0.755055,0.7256708167892053,0.6568936460623183,0.731,0.6697730370148834
criteo,HAT_DA,driftaware,HAT,drift_aware_selector,200000,13,0.75303,0.7917319042812873,0.5521555188969249,0.709,1.4022462903297883
criteo,DASRP,driftaware,DASRP,drift_aware_srp,200000,13,0.75793,0.5293889326651997,0.6668808929585994,0.719,0.5681773431142063
led_irrelevant,HT,baseline,HT,none,200000,2,0.1949,18.381145069385408,0.9500250258035707,0.192,8.416562627171658
led_irrelevant,HAT,baseline,HAT,none,200000,0,0.19558,17.389922679603863,0.9527698577692538,0.191,24.44656124764882
led_irrelevant,SRP,baseline,SRP,none,200000,0,0.19559,13.142541942574038,0.9169899356923775,0.19,19.98601183289023
led_irrelevant,HT_DA,driftaware,HT,drift_aware_selector,200000,8,0.187565,10.395753625451768,0.9166501200506555,0.192,8.56753727742185
led_irrelevant,HAT_DA,driftaware,HAT,drift_aware_selector,200000,8,0.18773,13.280558318952336,0.9106302018900658,0.192,38.53459874235591
led_irrelevant,DASRP,driftaware,DASRP,drift_aware_srp,200000,6,0.195405,3.2834092560621975,0.9360382551662043,0.192,3.486691774411586
rbf_highdim,HT,baseline,HT,none,200000,22,0.984975,0.23598393561213954,0.9965241857680863,0.983,0.2454928854197053
