dataset,model,selector,instances,elapsed_ms,drifts,final_Accuracy,final_LogLoss,final_AUC,final_Windowed[1000]-Accuracy,final_Windowed[1000]-LogLoss
avazu,HT,none,200000,6619,41,0.805155,1.0169266441807392,0.6338928190637975,0.809,1.0163620593877014
avazu,HT,static_topk,200000,4413,1,0.819195,0.5901046603283795,0.6787842674404105,0.833,0.521048238059734
avazu,HT,online_ranking,200000,5203,0,0.81927,0.5705716582745108,0.5352641947562261,0.827,0.5972471562916991
avazu,HAT,none,200000,12040,29,0.80057,1.0647375359915368,0.6352455285407755,0.811,1.2496754860899968
avazu,HAT,static_topk,200000,6160,0,0.81697,0.655114927709032,0.6704304057905883,0.831,0.5374236950539631
avazu,HAT,online_ranking,200000,5362,5,0.818205,0.6064047326897145,0.5519413524758016,0.816,0.6402334469638042
avazu,SRP,none,200000,447825,0,0.82241,0.5537156102571285,0.7016390453273991,0.833,0.5638757296460526
avazu,SRP,static_topk,200000,174358,0,0.82433,0.4658985160759682,0.7021716305655522,0.829,0.4285602601223444
avazu,SRP,online_ranking,200000,82252,0,0.820585,0.4888952215422357,0.6615474362154763,0.833,0.4401215715789697
criteo,HT,none,200000,11971,10,0.74967,1.0109724013470505,0.6296707251517066,0.698,1.704962833021296
criteo,HT,static_topk,200000,8042,9,0.76059,0.7045406898276643,0.6621266899856757,0.725,0.9867779898528981
criteo,HT,online_ranking,200000,9547,10,0.751865,0.7230827954491569,0.5015517647818539,0.708,0.7125936154010658
criteo,HAT,none,200000,17902,8,0.74069,1.2029950953491604,0.6142648607435697,0.705,1.023966671446898
criteo,HAT,static_topk,200000,10360,8,0.75589,0.7701208263992514,0.6481166540165613,0.728,0.7912906266034091
criteo,HAT,online_ranking,200000,10832,10,0.75169,0.7709592714166447,0.5278082691348686,0.711,0.6298183881049786
criteo,SRP,none,200000,587290,17,0.75042,1.6135199870706136,0.604045539571807,0.693,3.425310189186886
criteo,SRP,static_topk,200000,118789,7,0.765445,0.5562478538569134,0.686523797976175,0.748,0.6332366298048774
criteo,SRP,online_ranking,200000,85192,8,0.7561,0.5513031118797809,0.6585042561760713,0.728,0.545009731596417
agrawal_sudden,HT,none,200000,772,32,0.993325,0.032361616685849984,1.0,1.0,9.99200722162641E-16
agrawal_sudden,HT,static_topk,200000,586,9,0.797305,0.39911196557938705,0.5918001245774881,0.622,0.7675495686036647
agrawal_sudden,HT,online_ranking,200000,616,153,0.96474,0.09143655411309043,1.0,1.0,9.99200722162641E-16
agrawal_sudden,HAT,none,200000,949,16,0.997835,0.011761723311135468,1.0,1.0,9.99200722162641E-16
agrawal_sudden,HAT,static_topk,200000,933,7,0.79811,0.38321806133057995,0.5872106214887111,0.612,0.6797619727983758
agrawal_sudden,HAT,online_ranking,200000,810,124,0.966945,0.08877508181076822,1.0,1.0,9.99200722162641E-16
agrawal_sudden,SRP,none,200000,47776,30,0.9911,0.1990601698929125,0.9999870793623001,0.999,0.27864946014559905
agrawal_sudden,SRP,static_topk,200000,29937,2,0.770905,0.48688435595053275,0.5486176829593493,0.534,1.1920379771722707
agrawal_sudden,SRP,online_ranking,200000,6575,89,0.9713,0.16402485442495926,1.0,1.0,9.99200722162641E-16
agrawal_gradual,HT,none,200000,1015,68,0.94582,0.2669090903888917,0.998254819935436,0.972,0.17533432169666907
